X,Y,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,icon_url,CODMUN_TC,FREQ,DIST_EUCLI,TEMPO_ESTI
-36.9214686451009,-10.1656392460101,"2800100",Amparo do SÃ£o Francisco,SE,35.683,./0.png,,,,
-37.0641454855048,-10.2608122908752,"2800209",AquidabÃ£,SE,359.543,./0.png,"2800308",1,81191.612,2.320
-37.0949135195214,-10.9942022712615,"2800308",Aracaju,SE,182.163,./0.png,"2802908",1,49412.431,1.412
-37.5920469088434,-11.2623984300339,"2800407",ArauÃ¡,SE,198.967,./0.png,"2800308",1,61881.672,1.768
-37.3314568399164,-10.7872002083746,"2800506",Areia Branca,SE,148.134,./0.png,"2802908",3,14953.531,0.427
-36.9694061497716,-10.8511176420475,"2800605",Barra dos Coqueiros,SE,92.268,./0.png,"2800308",2,20946.047,0.598
-37.5969762480331,-11.1203496172015,"2800670",Boquim,SE,205.443,./0.png,"2802908",1,51770.113,1.479
-36.4739331778696,-10.4772773898652,"2800704",Brejo Grande,SE,141.464,./0.png,,,,
-37.5006616840154,-10.7663218830973,"2801009",Campo do Brito,SE,201.518,./0.png,"2802908",1,12428.933,0.355
-37.0007375658922,-10.1483927056869,"2801108",Canhoba,SE,171.581,./0.png,,,,
-37.9180080298677,-9.70916924845119,"2801207",CanindÃ© de SÃ£o Francisco,SE,934.167,./0.png,"2802908",1,120923.062,3.455
-37.0363442643398,-10.4687511748599,"2801306",Capela,SE,442.211,./0.png,"2800308",2,58473.638,1.671
-37.7105576195883,-10.3637632813552,"2801405",Carira,SE,638.743,./0.png,"2802908",3,47617.104,1.360
-36.9660706833411,-10.6646016219397,"2801504",CarmÃ³polis,SE,46.395,./0.png,"2800308",1,39085.854,1.117
-36.8991766021608,-10.2664862979241,"2801603",Cedro de SÃ£o JoÃ£o,SE,83.711,./0.png,,,,
-37.7329284521229,-11.4819806743163,"2801702",CristinÃ¡polis,SE,228.556,./0.png,,,,
-37.1957920937517,-10.3483746988105,"2801900",Cumbe,SE,128.393,./0.png,,,,
-37.1566227911779,-10.675897637271,"2802007",Divina Pastora,SE,90.508,./0.png,,,,
-37.397941912509,-11.2495060523627,"2802106",EstÃ¢ncia,SE,647.344,./0.png,"2800308",3,43512.915,1.243
-37.3297252006387,-10.2825659571698,"2802205",Feira Nova,SE,183.273,./0.png,,,,
-37.5898840273353,-10.522484716399,"2802304",Frei Paulo,SE,399.178,./0.png,"2802908",1,25777.999,0.737
-37.2034006051967,-10.0269978648043,"2802403",Gararu,SE,656.956,./0.png,"2800308",1,107640.760,3.075
-36.9710819579004,-10.6930283944031,"2802502",General Maynard,SE,19.793,./0.png,,,,
-37.2187641554794,-10.2225677608637,"2802601",Gracho Cardoso,SE,242.679,./0.png,,,,
-36.5551153816024,-10.4566238883238,"2802700",Ilha das Flores,SE,52.693,./0.png,,,,
-37.5288679966049,-11.4754913770591,"2802809",Indiaroba,SE,316.316,./0.png,,,,
-37.4216300738409,-10.6855915112688,"2802908",Itabaiana,SE,337.295,./0.png,"2802908",2,0.000,0.000
-37.7791854449753,-11.2587361218813,"2803005",Itabaianinha,SE,501.794,./0.png,"2800308",1,80273.539,2.294
-37.1438522942568,-10.1058795934036,"2803104",Itabi,SE,183.422,./0.png,,,,
-37.3182391482632,-11.0577022468341,"2803203",Itaporanga d'Ajuda,SE,739.702,./0.png,"2800308",2,25395.282,0.726
-36.9029895183676,-10.5532462595332,"2803302",Japaratuba,SE,365.677,./0.png,"2800308",1,53100.460,1.517
-36.7886888597825,-10.436079216061,"2803401",JapoatÃ£,SE,402.353,./0.png,,,,
-37.6644369629037,-10.9027048340219,"2803500",Lagarto,SE,968.921,./0.png,"2803500",47,0.000,0.000
-37.1861672510022,-10.8045420950892,"2803609",Laranjeiras,SE,162.273,./0.png,"2800308",1,23230.305,0.664
-37.5968567682668,-10.6600412296621,"2803708",Macambira,SE,137.496,./0.png,"2802908",3,19378.104,0.554
-36.9444191066554,-10.3292221852481,"2803807",Malhada dos Bois,SE,63.199,./0.png,,,,
-37.287791875978,-10.6728910642719,"2803906",Malhador,SE,101.888,./0.png,"2802908",1,14709.673,0.420
-37.1052319756919,-10.7304051045146,"2804003",Maruim,SE,95.554,./0.png,"2800308",1,29201.388,0.834
-37.3404237878719,-10.5935909269103,"2804102",Moita Bonita,SE,95.416,./0.png,"2802908",2,13509.619,0.386
-37.6160686594194,-10.0644787113222,"2804201",Monte Alegre de Sergipe,SE,386.912,./0.png,,,,
-36.9590200627719,-10.3840355444564,"2804300",Muribeca,SE,74.310,./0.png,,,,
-36.6603932532944,-10.3483035199744,"2804409",NeÃ³polis,SE,271.323,./0.png,"2800308",3,85815.376,2.452
